package,declared,locked,latest_tag,status,engines,source,checked_date,dev_sha
input-otp,^1.4.2,1.4.2,1.5.0,differs-from-latest,{},https://registry.npmjs.org/input-otp/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
jsdom,^20.0.3,20.0.3,30.0.1,differs-from-latest,"{""node"": ""^22.22.2 || ^24.15.0 || >=26.0.0""}",https://registry.npmjs.org/jsdom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
lovable-tagger,^1.1.13,1.1.13,1.3.3,differs-from-latest,{},https://registry.npmjs.org/lovable-tagger/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
lucide-react,^1.16.0,1.17.0,1.41.0,differs-from-latest,{},https://registry.npmjs.org/lucide-react/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
motion,^12.40.0,12.40.0,13.2.0,differs-from-latest,{},https://registry.npmjs.org/motion/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
nanoid,^5.1.11,5.1.11,6.0.1,differs-from-latest,"{""node"": ""^22 || ^24 || >=26""}",https://registry.npmjs.org/nanoid/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
next-themes,^0.3.0,0.3.0,0.4.6,differs-from-latest,{},https://registry.npmjs.org/next-themes/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
postcss,^8.5.6,8.5.19,8.5.28,differs-from-latest,"{""node"": ""^10 || ^12 || >=14""}",https://registry.npmjs.org/postcss/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react,^18.3.1,18.3.1,19.2.8,differs-from-latest,"{""node"": "">=0.10.0""}",https://registry.npmjs.org/react/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-day-picker,^8.10.1,8.10.1,10.0.1,differs-from-latest,"{""node"": "">=18""}",https://registry.npmjs.org/react-day-picker/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-dom,^18.3.1,18.3.1,19.2.8,differs-from-latest,{},https://registry.npmjs.org/react-dom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-grid-layout,^1.5.0,1.5.3,2.2.4,differs-from-latest,{},https://registry.npmjs.org/react-grid-layout/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-hook-form,^7.61.1,7.61.1,7.87.0,differs-from-latest,"{""node"": "">=18.0.0""}",https://registry.npmjs.org/react-hook-form/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-i18next,^17.0.6,17.0.7,17.0.13,differs-from-latest,{},https://registry.npmjs.org/react-i18next/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-markdown,^10.1.0,10.1.0,10.1.0,matches-latest,{},https://registry.npmjs.org/react-markdown/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-resizable-panels,^2.1.9,2.1.9,4.12.3,differs-from-latest,{},https://registry.npmjs.org/react-resizable-panels/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
react-router-dom,^6.30.1,6.30.4,7.18.3,differs-from-latest,"{""node"": "">=20.0.0""}",https://registry.npmjs.org/react-router-dom/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
recharts,^2.15.4,2.15.4,3.10.1,differs-from-latest,"{""node"": "">=18""}",https://registry.npmjs.org/recharts/latest,2026-09-06,5d4f385284b44a30e10764426a47fd808a7ae3cb
